,biaya,kota_asal,kota_tujuan
0,275000,Banda Aceh,Kab Aceh Barat
1,298000,Banda Aceh,Kab Aceh Barat Daya
2,183000,Banda Aceh,Kab Aceh Besar
3,238000,Banda Aceh,Kab Aceh Jaya
4,325000,Banda Aceh,Kab Aceh Selatan
5,420000,Banda Aceh,Kab Aceh Singkil
6,315000,Banda Aceh,Kab Aceh Tamiang
7,293000,Banda Aceh,Kab Aceh Tengah
8,460000,Banda Aceh,Kab Aceh Tenggara
9,289000,Banda Aceh,Kab Aceh Timur
10,270000,Banda Aceh,Kab Aceh Utara
11,278000,Banda Aceh,Kab Bener Meriah
12,220000,Banda Aceh,Kab Bireuen
13,370000,Banda Aceh,Kab Gayo Lues
14,275000,Banda Aceh,Kab Nagan Raya
15,190000,Banda Aceh,Kab Pidie
16,205000,Banda Aceh,Kab Pidie Jaya
17,301000,Banda Aceh,Kota Langsa
18,240000,Banda Aceh,Kota Lhokseumawe
19,400000,Banda Aceh,Kota Subulussalam
20,259000,Medan,Kab Asahan
21,225000,Medan,Kab Batubara
22,270000,Medan,Kab Dairi
23,186000,Medan,Kab Deli Serdang
24,300000,Medan,Kab Humbang Hasundutan
25,200000,Medan,Kab Karo
26,287000,Medan,Kab Labuhan Batu
27,360000,Medan,Kab Labuhan Batu Selatan
28,300000,Medan,Kab Labuhan Batu Utara
29,186000,Medan,Kab Langkat
30,420000,Medan,Kab Mandailing
31,420000,Medan,Kab Mandailing Natal
32,420000,Medan,Kab Padang Lawas
33,420000,Medan,Kab Padang Lawas Utara
34,300000,Medan,Kab Pakpak Bharat
35,330000,Medan,Kab Samosir
36,200000,Medan,Kab Serdang Bedagai
37,264000,Medan,Kab Simalungun
38,328000,Medan,Kab Tapanuli Selatan
39,345000,Medan,Kab Tapanuli Tengah
40,330000,Medan,Kab Tapanuli Utara
41,300000,Medan,Kab Toba Samosir
42,180000,Medan,Kota Binjai
43,225000,Medan,Kota Pematang Siantar
44,345000,Medan,Kota Sibolga
45,285000,Medan,Kota Tanjung Balai
46,203000,Medan,Kota Tebing Tinggi
47,380000,Pekanbaru,Kab Indragiri Hilir
48,315000,Pekanbaru,Kab Indragiri Hulu
49,200000,Pekanbaru,Kab Kampar
