id;nama_kota;is_kota;id_provinsi
0;aceh;TRUE;0
1;aceh barat;TRUE;0
2;aceh barat daya;TRUE;0
3;aceh besar;TRUE;0
4;aceh jaya;TRUE;0
5;aceh selatan;TRUE;0
6;aceh singkil;TRUE;0
7;aceh tamiang;TRUE;0
8;aceh tengah;TRUE;0
9;aceh tenggara;TRUE;0
10;aceh timur;TRUE;0
11;aceh utara;TRUE;0
12;banda aceh;FALSE;0
13;bener meriah;TRUE;0
14;bireuen;TRUE;0
15;gayo lues;TRUE;0
16;langsa;FALSE;0
17;lhoksumawe;FALSE;0
18;nagan raya;TRUE;0
19;pidie;TRUE;0
20;pidie jaya;TRUE;0
21;sabang;FALSE;0
22;simeulue;TRUE;0
23;subulussalam;FALSE;0
24;badung;TRUE;1
25;bali;TRUE;1
26;bangli;TRUE;1
27;buleleng;TRUE;1
28;denpasar;FALSE;1
29;gianyar;TRUE;1
30;jembrana;TRUE;1
31;karangasem;TRUE;1
32;klungkung;TRUE;1
33;tabanan;TRUE;1
34;banten;TRUE;2
35;cilegon;FALSE;2
36;lebak;TRUE;2
37;pandeglang;TRUE;2
38;serang;FALSE;2
39;serang;TRUE;2
40;tangerang;FALSE;2
41;tangerang;TRUE;2
42;tangerang selatan;FALSE;2
43;bengkulu;FALSE;3
44;bengkulu;TRUE;3
45;bengkulu selatan;TRUE;3
46;bengkulu tengah;TRUE;3
47;bengkulu utara;TRUE;3
48;kaur;TRUE;3
49;kepahiang;TRUE;3
50;lebong;TRUE;3
51;mukomuko;TRUE;3
52;rejang lebong;TRUE;3
53;seluma;TRUE;3
54;boalemo;TRUE;4
55;bone bolango;TRUE;4
56;gorontalo;FALSE;4
57;gorontalo;TRUE;4
58;gorontalo utara;TRUE;4
59;pohuwato;TRUE;4
60;jakarta;TRUE;5
61;jakarta barat;FALSE;5
62;jakarta pusat;FALSE;5
63;jakarta selatan;FALSE;5
64;jakarta timur;FALSE;5
65;jakarta utara;FALSE;5
66;kepulauan seribu;TRUE;5
67;batanghari;TRUE;6
68;bungo;TRUE;6
69;jambi;FALSE;6
70;jambi;TRUE;6
71;kerinci;TRUE;6
72;merangin;TRUE;6
73;muaro jambi;TRUE;6
74;sarolangun;TRUE;6
75;sungai penuh;FALSE;6
76;tanjung jabung barat;TRUE;6
77;tanjung jabung timur;TRUE;6
78;tebo;TRUE;6
79;bandung;FALSE;7
80;bandung;TRUE;7
81;bandung barat;TRUE;7
82;banjar jawa barat;FALSE;7
83;bekasi;FALSE;7
84;bekasi;TRUE;7
85;bogor;FALSE;7
86;bogor;TRUE;7
87;ciamis;TRUE;7
88;cianjur;TRUE;7
89;cimahi;FALSE;7
90;cirebon;FALSE;7
91;cirebon;TRUE;7
92;depok;FALSE;7
93;garut;TRUE;7
94;indramayu;TRUE;7
95;jawa barat;TRUE;7
96;karawang;TRUE;7
97;kuningan;TRUE;7
98;majalengka;TRUE;7
99;pangandaran;TRUE;7
100;purwakarta;TRUE;7
101;subang;TRUE;7
102;sukabumi;FALSE;7
103;sukabumi;TRUE;7
104;sumedang;TRUE;7
105;tasikmalaya;FALSE;7
106;tasikmalaya;TRUE;7
107;banjarnegara;TRUE;8
108;banyumas;TRUE;8
109;batang;TRUE;8
110;blora;TRUE;8
111;boyolali;TRUE;8
112;brebes;TRUE;8
113;cilacap;TRUE;8
114;demak;TRUE;8
115;grobogan;TRUE;8
116;jawa tengah;TRUE;8
117;jawa tengah 1;TRUE;8
118;jawa tengah 2;TRUE;8
119;jepara;TRUE;8
120;karanganyar;TRUE;8
121;kebumen;TRUE;8
122;kendal;TRUE;8
123;klaten;TRUE;8
124;kudus;TRUE;8
125;magelang;FALSE;8
126;magelang;TRUE;8
127;pati;TRUE;8
128;pekalongan;FALSE;8
129;pekalongan;TRUE;8
130;pemalang;TRUE;8
131;purbalingga;TRUE;8
132;purwokerto;TRUE;8
133;purworejo;TRUE;8
134;rembang;TRUE;8
135;salatiga;FALSE;8
136;semarang;FALSE;8
137;semarang;TRUE;8
138;solo;FALSE;8
139;sragen;TRUE;8
140;sukoharjo;TRUE;8
141;surakarta;FALSE;8
142;tegal;FALSE;8
143;tegal;TRUE;8
144;temanggung;TRUE;8
145;wonogiri;TRUE;8
146;wonosobo;TRUE;8
147;bangkalan;TRUE;9
148;banyuwangi;TRUE;9
149;batu;FALSE;9
150;blitar;FALSE;9
151;blitar;TRUE;9
152;bojonegoro;TRUE;9
153;bondowoso;TRUE;9
154;gresik;TRUE;9
155;jawa timur;TRUE;9
156;jember;TRUE;9
157;jombang;TRUE;9
158;kediri;FALSE;9
159;kediri;TRUE;9
160;lamongan;TRUE;9
161;lumajang;TRUE;9
162;madiun;FALSE;9
163;madiun;TRUE;9
164;magetan;TRUE;9
165;malang;FALSE;9
166;malang;TRUE;9
167;mojokerto;FALSE;9
168;mojokerto;TRUE;9
169;nganjuk;TRUE;9
170;ngawi;TRUE;9
171;pacitan;TRUE;9
172;pamekasan;TRUE;9
173;pasuruan;FALSE;9
174;pasuruan;TRUE;9
175;ponorogo;TRUE;9
176;probolinggo;FALSE;9
177;probolinggo;TRUE;9
178;sampang;TRUE;9
179;sidoarjo;TRUE;9
180;situbondo;TRUE;9
