,uraian,pejabat negara/pejabat eselon i,pejabat negara lainnya/pejabat eselon ii,pejabat eselon iii/golongan iv,pejabat eselon iv/golongan iii/ii/i
0,ACEH,4420000.0,3526000.0,1294000.0,556000.0
1,SUMATERA  UTARA,4960000.0,1756000.0,1100000.0,530000.0
2,R I A U,3820000.0,3119000.0,1650000.0,852000.0
3,KEPULAUAN  RIAU,4275000.0,1854000.0,1037000.0,792000.0
4,J A M B I,4000000.0,3337000.0,1225000.0,580000.0
5,SUMATERA  BARAT,5236000.0,3332000.0,1353000.0,650000.0
6,SUMATERA  SELATAN,5850000.0,3083000.0,1571000.0,861000.0
7,LAMPUNG,4491000.0,2067000.0,1140000.0,580000.0
8,BENGKULU,2140000.0,1628000.0,1546000.0,692000.0
9,BANGKA  BELITUNG,3827000.0,2838000.0,1957000.0,622000.0
10,B A N T E N,5725000.0,2373000.0,1000000.0,718000.0
11,JAWA  BARAT,5381000.0,2755000.0,1201000.0,570000.0
12,D.K.I.  JAKARTA,8720000.0,2063000.0,992000.0,730000.0
13,JAWA  TENGAH,4242000.0,1480000.0,954000.0,600000.0
14,D.I. YOGYAKARTA,5017000.0,2695000.0,1384000.0,845000.0
15,JAWA  TIMUR,4400000.0,1605000.0,1076000.0,664000.0
16,B A L I,4890000.0,1946000.0,1078000.0,910000.0
17,NUSA  TENGGARA  BARAT,3500000.0,2648000.0,1418000.0,725000.0
18,NUSA  TENGGARA  TIMUR,3000000.0,1706000.0,1355000.0,550000.0
19,KALIMANTAN  BARAT,2654000.0,1538000.0,1125000.0,538000.0
20,KALIMANTAN  TENGAH,4901000.0,3391000.0,1160000.0,659000.0
21,KALIMANTAN  SELATAN,4797000.0,3316000.0,1500000.0,648000.0
22,KALIMANTAN  TIMUR,4000000.0,2188000.0,1507000.0,804000.0
23,KALIMANTAN  UTARA,4000000.0,2188000.0,,
24,SULAWESI  UTARA,4919000.0,2290000.0,1170000.0,978000.0
25,GORONTALO,4168000.0,2549000.0,1606000.0,955000.0
26,SULAWESI  BARAT,4076000.0,3098000.0,1075000.0,704000.0
27,SULAWESI  SELATAN,4820000.0,1550000.0,1138000.0,732000.0
28,SULAWESI  TENGAH,2309000.0,2027000.0,1567000.0,951000.0
29,SULAWESI  TENGGARA,2475000.0,2059000.0,1297000.0,786000.0
30,MALUKU,3467000.0,3240000.0,1048000.0,667000.0
31,MALUKU  UTARA,3440000.0,3175000.0,1073000.0,600000.0
32,P A P U A,3859000.0,3318000.0,2521000.0,830000.0
33,PAPUA  BARAT,3872000.0,3212000.0,2056000.0,773000.0
34,KALIMANTAN UTARA,,,1507000.0,904000.0
