id,nama_kota,is_kota,id_provinsi
0,aceh,2,0
1,aceh barat,2,0
2,aceh barat daya,2,0
3,aceh besar,2,0
4,aceh jaya,2,0
5,aceh selatan,2,0
6,aceh singkil,2,0
7,aceh tamiang,2,0
8,aceh tengah,2,0
9,aceh tenggara,2,0
10,aceh timur,2,0
11,aceh utara,2,0
12,banda aceh,1,0
13,bener meriah,2,0
14,bireuen,2,0
15,gayo lues,2,0
16,langsa,1,0
17,lhoksumawe,1,0
18,nagan raya,2,0
19,pidie,2,0
20,pidie jaya,2,0
21,sabang,1,0
22,simeulue,2,0
23,subulussalam,1,0
24,badung,2,1
25,bali,2,1
26,bangli,2,1
27,buleleng,2,1
28,denpasar,1,1
29,gianyar,2,1
30,jembrana,2,1
31,karangasem,2,1
32,klungkung,2,1
33,tabanan,2,1
34,banten,2,2
35,cilegon,1,2
36,lebak,2,2
37,pandeglang,2,2
38,serang,1,2
39,serang,2,2
40,tangerang,1,2
41,tangerang,2,2
42,tangerang selatan,1,2
43,bengkulu,1,3
44,bengkulu,2,3
45,bengkulu selatan,2,3
46,bengkulu tengah,2,3
47,bengkulu utara,2,3
48,kaur,2,3
49,kepahiang,2,3
50,lebong,2,3
51,mukomuko,2,3
52,rejang lebong,2,3
53,seluma,2,3
54,boalemo,2,4
55,bone bolango,2,4
56,gorontalo,1,4
57,gorontalo,2,4
58,gorontalo utara,2,4
59,pohuwato,2,4
60,jakarta,2,5
61,jakarta barat,1,5
62,jakarta pusat,1,5
63,jakarta selatan,1,5
64,jakarta timur,1,5
65,jakarta utara,1,5
66,kepulauan seribu,2,5
67,batanghari,2,6
68,bungo,2,6
69,jambi,1,6
70,jambi,2,6
71,kerinci,2,6
72,merangin,2,6
73,muaro jambi,2,6
74,sarolangun,2,6
75,sungai penuh,1,6
76,tanjung jabung barat,2,6
77,tanjung jabung timur,2,6
78,tebo,2,6
79,bandung,1,7
80,bandung,2,7
81,bandung barat,2,7
82,banjar jawa barat,1,7
83,bekasi,1,7
84,bekasi,2,7
85,bogor,1,7
86,bogor,2,7
87,ciamis,2,7
88,cianjur,2,7
89,cimahi,1,7
90,cirebon,1,7
91,cirebon,2,7
92,depok,1,7
93,garut,2,7
94,indramayu,2,7
95,jawa barat,2,7
96,karawang,2,7
97,kuningan,2,7
98,majalengka,2,7
99,pangandaran,2,7
100,purwakarta,2,7
101,subang,2,7
102,sukabumi,1,7
103,sukabumi,2,7
104,sumedang,2,7
105,tasikmalaya,1,7
106,tasikmalaya,2,7
107,banjarnegara,2,8
108,banyumas,2,8
109,batang,2,8
110,blora,2,8
111,boyolali,2,8
112,brebes,2,8
113,cilacap,2,8
114,demak,2,8
115,grobogan,2,8
116,jawa tengah,2,8
117,jawa tengah 1,2,8
118,jawa tengah 2,2,8
119,jepara,2,8
120,karanganyar,2,8
