,uraian,fullboard di luar kota,fullboard  di dalam kota,fullday/halfday di luar kota/di dalam kota
0,ACEH,120000,120000,85000
1,SUMATERA UTARA,130000,130000,95000
2,RIAU,130000,130000,85000
3,KEPULAUAN RIAU,130000,130000,95000
4,JAMBI,130000,130000,95000
5,SUMATERA BARAT,120000,120000,85000
6,SUMATERA SELATAN,120000,120000,85000
7,LAMPUNG,130000,130000,95000
8,BENGKULU,130000,130000,95000
9,BANGKA BELITUNG,130000,130000,95000
10,BANTEN,120000,120000,85000
11,JAWA BARAT,150000,150000,105000
12,DKI JAKARTA,180000,180000,130000
13,JAWA TENGAH,130000,130000,95000
14,DI YOGYAKARTA,140000,140000,100000
15,JAWA TIMUR,140000,140000,100000
16,BALI,160000,160000,115000
17,NUSA TENGGARA BARAT,150000,150000,105000
18,NUSA TENGGARA TIMUR,140000,140000,100000
19,KALIMANTAN BARAT,130000,130000,95000
20,KALIMANTAN TENGAH,120000,120000,85000
21,KALIMANTAN SELATAN,130000,130000,95000
22,KALIMANTAN TIMUR,150000,150000,105000
23,KALIMANTAN UTARA,150000,150000,105000
24,SULAWESI UTARA,130000,130000,95000
25,GORONTALO,130000,130000,95000
26,SULAWESI BARAT,120000,120000,85000
27,SULAWESI SELATAN,150000,150000,105000
28,SULAWESI TENGAH,130000,130000,95000
29,SULAWESI TENGGARA,130000,130000,95000
30,MALUKU,120000,120000,85000
31,MALUKU UTARA,130000,130000,95000
32,PAPUA,200000,200000,140000
33,PAPUA BARAT,160000,160000,115000
