,uraian,biaya
0,ACEH,123000
1,SUMATERA UTARA,256000
2,RIAU,101000
3,KEPULAUAN RIAU,137000
4,JAMBI,147000
5,SUMATERA BARAT,190000
6,SUMATERA SELATAN,154000
7,LAMPUNG,167000
8,BENGKULU,109000
9,BANGKA BELITUNG,90000
10,BANTEN,446000
11,JAWA BARAT,166000
12,DKI JAKARTA,256000
13,JAWA TENGAH,90000
14,DI YOGYAKARTA,198000
15,JAWA TIMUR,194000
16,BALI,189000
17,NUSA TENGGARA BARAT,231000
18,NUSA TENGGARA TIMUR,116000
19,KALIMANTAN BARAT,142000
20,KALIMANTAN TENGAH,134000
21,KALIMANTAN SELATAN,150000
22,KALIMANTAN TIMUR,533000
23,KALIMANTAN UTARA,218000
24,SULAWESI UTARA,138000
25,GORONTALO,240000
26,SULAWESI BARAT,313000
27,SULAWESI SELATAN,166000
28,SULAWESI TENGAH,165000
29,SULAWESI TENGGARA,171000
30,MALUKU,240000
31,MALUKU UTARA,215000
32,PAPUA,431000
33,PAPUA BARAT,196000
