,satuan biaya tiket pesawat  perjalanan dinas dalam negeri (pp) bisnis,satuan biaya tiket pesawat  perjalanan dinas dalam negeri (pp) ekonomi,kota_asal,kota_tujuan
0,13285000,7081000,JAKARTA,AMBON
1,7412000,3797000,JAKARTA,BALIKPAPAN
2,7519000,4492000,JAKARTA,BANDA ACEH
3,2407000,1583000,JAKARTA,BANDAR LAMPUNG
4,5252000,2995000,JAKARTA,BANJARMASIN
5,4867000,2888000,JAKARTA,BATAM
6,4364000,2621000,JAKARTA,BENGKULU
7,14065000,7519000,JAKARTA,BIAK
8,5305000,3262000,JAKARTA,DENPASAR
9,7231000,4824000,JAKARTA,GORONTALO
10,4065000,2460000,JAKARTA,JAMBI
11,14568000,8193000,JAKARTA,JAYAPURA
12,4107000,2268000,JAKARTA,JOGJAKARTA
13,7658000,4182000,JAKARTA,KENDARI
14,9413000,5081000,JAKARTA,KUPANG
15,7444000,3829000,JAKARTA,MAKASSAR
16,4599000,2695000,JAKARTA,MALANG
17,7295000,4867000,JAKARTA,MAMUJU
18,10824000,5102000,JAKARTA,MANADO
19,16226000,10824000,JAKARTA,MANOKWARI
20,5316000,3230000,JAKARTA,MATARAM
21,7252000,3808000,JAKARTA,MEDAN
22,5530000,2952000,JAKARTA,PADANG
23,4984000,2984000,JAKARTA,PALANGKARAYA
24,3861000,2268000,JAKARTA,PALEMBANG
25,9348000,5113000,JAKARTA,PALU
26,3412000,2139000,JAKARTA,PANGKAL PINANG
27,5583000,3016000,JAKARTA,PEKANBARU
28,4353000,2781000,JAKARTA,PONTIANAK
29,3861000,2182000,JAKARTA,SEMARANG
30,3861000,2342000,JAKARTA,SOLO
31,5466000,2674000,JAKARTA,SURABAYA
32,10001000,6664000,JAKARTA,TERNATE
33,13830000,7487000,JAKARTA,TIMIKA
34,8054000,4471000,AMBON,DENPASAR
35,7434000,4161000,AMBON,JAYAPURA
36,4824000,2856000,AMBON,KENDARI
37,6022000,3455000,AMBON,MAKASSAR
38,5177000,3027000,AMBON,MANOKWARI
39,6140000,3508000,AMBON,PALU
40,3637000,2257000,AMBON,SORONG
41,8803000,4845000,AMBON,SURABAYA
42,4022000,2449000,AMBON,TERNATE
43,12739000,6749000,BALIKPAPAN,BANDA ACEH
44,10354000,5305000,BALIKPAPAN,BATAM
45,10739000,5648000,BALIKPAPAN,DENPASAR
46,19071000,10086000,BALIKPAPAN,JAYAPURA
47,9669000,4749000,BALIKPAPAN,JOGJAKARTA
48,12664000,6150000,BALIKPAPAN,MAKASSAR
49,15702000,7295000,BALIKPAPAN,MANADO
50,12493000,6140000,BALIKPAPAN,MEDAN
51,10942000,5369000,BALIKPAPAN,PADANG
52,9445000,4749000,BALIKPAPAN,PALEMBANG
53,10996000,5423000,BALIKPAPAN,PEKANBARU
54,9445000,4674000,BALIKPAPAN,SEMARANG
55,9445000,4813000,BALIKPAPAN,SOLO
56,10889000,5113000,BALIKPAPAN,SURABAYA
57,18408000,9445000,BALIKPAPAN,TIMIKA
58,10835000,6279000,BANDA ACEH,DENPASAR
59,19167000,10717000,BANDA ACEH,JAYAPURA
60,9765000,5380000,BANDA ACEH,JOGJAKARTA
61,12760000,6781000,BANDA ACEH,MAKASSAR
62,15798000,7926000,BANDA ACEH,MANADO
63,9990000,5840000,BANDA ACEH,PONTIANAK
64,9530000,5305000,BANDA ACEH,SEMARANG
65,9530000,5444000,BANDA ACEH,SOLO
66,10985000,5744000,BANDA ACEH,SURABAYA
67,18504000,10076000,BANDA ACEH,TIMIKA
68,8129000,4129000,BANDAR LAMPUNG,BALIKPAPAN
69,8225000,4760000,BANDAR LAMPUNG,BANDA ACEH
70,6193000,3412000,BANDAR LAMPUNG,BANJARMASIN
71,5840000,3316000,BANDAR LAMPUNG,BATAM
72,14119000,7487000,BANDAR LAMPUNG,BIAK
73,6236000,3647000,BANDAR LAMPUNG,DENPASAR
74,14568000,8097000,BANDAR LAMPUNG,JAYAPURA
75,5155000,2760000,BANDAR LAMPUNG,JOGJAKARTA
76,8354000,4482000,BANDAR LAMPUNG,KENDARI
77,8161000,4161000,BANDAR LAMPUNG,MAKASSAR
78,5594000,3134000,BANDAR LAMPUNG,MALANG
79,11199000,5305000,BANDAR LAMPUNG,MANADO
80,6246000,3626000,BANDAR LAMPUNG,MATARAM
81,7979000,4150000,BANDAR LAMPUNG,MEDAN
82,6439000,3380000,BANDAR LAMPUNG,PADANG
83,5947000,3401000,BANDAR LAMPUNG,PALANGKARAYA
84,4931000,2760000,BANDAR LAMPUNG,PALEMBANG
85,6482000,3433000,BANDAR LAMPUNG,PEKANBARU
86,5380000,3220000,BANDAR LAMPUNG,PONTIANAK
87,4931000,2685000,BANDAR LAMPUNG,SEMARANG
88,4931000,2824000,BANDAR LAMPUNG,SOLO
89,6386000,3123000,BANDAR LAMPUNG,SURABAYA
90,13905000,7455000,BANDAR LAMPUNG,TIMIKA
91,6289000,3583000,BANDUNG,BATAM
92,5626000,3252000,BANDUNG,DENPASAR
93,2064000,1476000,BANDUNG,JAKARTA
94,5006000,2941000,BANDUNG,JAMBI
95,3369000,2129000,BANDUNG,JOGJAKARTA
96,6129000,3508000,BANDUNG,PADANG
97,4385000,2631000,BANDUNG,PALEMBANG
98,4599000,2738000,BANDUNG,PANGKAL PINANG
99,6525000,3701000,BANDUNG,PEKANBARU
100,3027000,1957000,BANDUNG,SEMARANG
101,3647000,2268000,BANDUNG,SOLO
102,4824000,2856000,BANDUNG,SURABAYA
103,4439000,2663000,BANDUNG,TANJUNG PANDAN
104,10792000,6022000,BANJARMASIN,BANDA ACEH
105,8407000,4578000,BANJARMASIN,BATAM
106,16686000,8749000,BANJARMASIN,BIAK
107,8792000,4920000,BANJARMASIN,DENPASAR
108,17135000,9359000,BANJARMASIN,JAYAPURA
109,7723000,4022000,BANJARMASIN,JOGJAKARTA
110,10546000,5412000,BANJARMASIN,MEDAN
111,9006000,4642000,BANJARMASIN,PADANG
112,7498000,4022000,BANJARMASIN,PALEMBANG
113,9049000,4696000,BANJARMASIN,PEKANBARU
114,7498000,3958000,BANJARMASIN,SEMARANG
115,7498000,4097000,BANJARMASIN,SOLO
116,8942000,4385000,BANJARMASIN,SURABAYA
117,16472000,8717000,BANJARMASIN,TIMIKA
118,10439000,5936000,BATAM,BANDA ACEH
119,8450000,4824000,BATAM,DENPASAR
120,16782000,9263000,BATAM,JAYAPURA
121,7370000,3936000,BATAM,JOGJAKARTA
122,10375000,5337000,BATAM,MAKASSAR
123,13413000,6482000,BATAM,MANADO
124,10193000,5316000,BATAM,MEDAN
125,8653000,4546000,BATAM,PADANG
126,7145000,3936000,BATAM,PALEMBANG
127,8707000,4599000,BATAM,PEKANBARU
128,7594000,4396000,BATAM,PONTIANAK
129,7145000,3861000,BATAM,SEMARANG
130,7145000,4000000,BATAM,SOLO
131,8600000,4300000,BATAM,SURABAYA
132,16119000,8621000,BATAM,TIMIKA
133,2899000,1893000,BENGKULU,PALEMBANG
134,18622000,9477000,BIAK,BALIKPAPAN
135,18718000,10108000,BIAK,BANDA ACEH
136,16333000,8664000,BIAK,BATAM
137,16729000,8995000,BIAK,DENPASAR
138,3615000,2321000,BIAK,JAYAPURA
139,15648000,8108000,BIAK,JOGJAKARTA
140,11734000,6353000,BIAK,MANADO
141,18472000,9498000,BIAK,MEDAN
142,16932000,8728000,BIAK,PADANG
143,15424000,8108000,BIAK,PALEMBANG
144,16985000,8781000,BIAK,PEKANBARU
145,15873000,8568000,BIAK,PONTIANAK
146,12782000,7081000,BIAK,SURABAYA
147,5808000,3444000,BIAK,TIMIKA
148,11680000,6845000,DENPASAR,JAYAPURA
149,5091000,2952000,DENPASAR,KUPANG
150,4182000,2631000,DENPASAR,MAKASSAR
151,7851000,4278000,DENPASAR,MANADO
152,1840000,1390000,DENPASAR,MATARAM
153,10589000,5658000,DENPASAR,MEDAN
154,9049000,4888000,DENPASAR,PADANG
155,8557000,4909000,DENPASAR,PALANGKARAYA
156,7541000,4278000,DENPASAR,PALEMBANG
157,9092000,4942000,DENPASAR,PEKANBARU
158,7990000,4738000,DENPASAR,PONTIANAK
159,10140000,6129000,DENPASAR,TIMIKA
160,7733000,4407000,JAMBI,BALIKPAPAN
161,7690000,4193000,JAMBI,BANJARMASIN
162,7733000,4439000,JAMBI,DENPASAR
163,6653000,3551000,JAMBI,JOGJAKARTA
164,11434000,6075000,JAMBI,KUPANG
165,9659000,4952000,JAMBI,MAKASSAR
166,7091000,3925000,JAMBI,MALANG
167,12707000,6097000,JAMBI,MANADO
168,7444000,4193000,JAMBI,PALANGKARAYA
169,6878000,4011000,JAMBI,PONTIANAK
170,6428000,3476000,JAMBI,SEMARANG
171,6428000,3615000,JAMBI,SOLO
172,7883000,3915000,JAMBI,SURABAYA
173,13274000,7690000,JAYAPURA,JOGJAKARTA
174,22109000,11263000,JAYAPURA,MANADO
175,18932000,10097000,JAYAPURA,MEDAN
176,17381000,9327000,JAYAPURA,PADANG
177,15873000,8717000,JAYAPURA,PALEMBANG
178,17435000,9380000,JAYAPURA,PEKANBARU
179,16322000,9177000,JAYAPURA,PONTIANAK
180,3615000,2289000,JAYAPURA,TIMIKA
181,3861000,2481000,JOGJAKARTA,DENPASAR
182,6525000,3893000,JOGJAKARTA,MAKASSAR
183,10536000,5722000,JOGJAKARTA,MANADO
184,9519000,4770000,JOGJAKARTA,MEDAN
185,7969000,4000000,JOGJAKARTA,PADANG
186,6460000,3380000,JOGJAKARTA,PALEMBANG
187,8022000,4054000,JOGJAKARTA,PEKANBARU
188,6910000,3840000,JOGJAKARTA,PONTIANAK
189,11894000,7038000,JOGJAKARTA,TIMIKA
190,12953000,7102000,KENDARI,BANDA ACEH
191,10568000,5658000,KENDARI,BATAM
192,5455000,3273000,KENDARI,DENPASAR
193,8129000,4706000,KENDARI,JOGJAKARTA
194,11167000,5722000,KENDARI,PADANG
195,9659000,5102000,KENDARI,PALEMBANG
196,11220000,5776000,KENDARI,PEKANBARU
197,9659000,5027000,KENDARI,SEMARANG
198,9659000,5166000,KENDARI,SOLO
199,11103000,5466000,KENDARI,SURABAYA
200,18633000,9798000,KENDARI,TIMIKA
201,14386000,8108000,KUPANG,JAYAPURA
202,7348000,4182000,KUPANG,JOGJAKARTA
203,7637000,4311000,KUPANG,MAKASSAR
204,11648000,6140000,KUPANG,MANADO
205,6749000,3722000,KUPANG,SURABAYA
206,8493000,4931000,MAKASSAR,BIAK
207,10193000,5787000,MAKASSAR,JAYAPURA
208,2663000,1786000,MAKASSAR,KENDARI
209,5327000,2909000,MAKASSAR,MANADO
210,11723000,6567000,MAKASSAR,TIMIKA
211,10108000,5134000,MALANG,BALIKPAPAN
212,10204000,5765000,MALANG,BANDA ACEH
213,8161000,4407000,MALANG,BANJARMASIN
214,7819000,4311000,MALANG,BATAM
215,16087000,8482000,MALANG,BIAK
216,16536000,9092000,MALANG,JAYAPURA
217,10322000,5487000,MALANG,KENDARI
218,10129000,5166000,MALANG,MAKASSAR
219,13167000,6311000,MALANG,MANADO
220,9958000,5145000,MALANG,MEDAN
221,8418000,4385000,MALANG,PADANG
222,7915000,4407000,MALANG,PALANGKARAYA
223,6899000,3765000,MALANG,PALEMBANG
224,8461000,4439000,MALANG,PEKANBARU
225,15873000,8461000,MALANG,TIMIKA
226,15552000,7316000,MANADO,MEDAN
227,14012000,6546000,MANADO,PADANG
228,12504000,5926000,MANADO,PALEMBANG
229,14055000,6599000,MANADO,PEKANBARU
230,12953000,6396000,MANADO,PONTIANAK
231,12504000,5851000,MANADO,SEMARANG
232,12504000,5990000,MANADO,SOLO
233,9937000,5262000,MANADO,SURABAYA
234,16183000,8995000,MANADO,TIMIKA
235,10750000,5615000,MATARAM,BALIKPAPAN
236,10846000,6246000,MATARAM,BANDA ACEH
237,8803000,4888000,MATARAM,BANJARMASIN
238,8461000,4803000,MATARAM,BATAM
239,11552000,6546000,MATARAM,BIAK
240,13092000,7327000,MATARAM,JAYAPURA
241,4417000,2781000,MATARAM,JOGJAKARTA
242,4717000,2909000,MATARAM,MAKASSAR
243,8717000,4738000,MATARAM,MANADO
244,10600000,5637000,MATARAM,MEDAN
245,9060000,4867000,MATARAM,PADANG
246,7551000,4246000,MATARAM,PALEMBANG
247,9102000,4909000,MATARAM,PEKANBARU
248,8001000,4706000,MATARAM,PONTIANAK
249,3829000,2321000,MATARAM,SURABAYA
250,3466000,2193000,MEDAN,BANDA ACEH
251,12514000,6172000,MEDAN,MAKASSAR
252,9733000,5230000,MEDAN,PONTIANAK
253,9284000,4696000,MEDAN,SEMARANG
254,9284000,4835000,MEDAN,SOLO
255,10739000,5134000,MEDAN,SURABAYA
256,18258000,9455000,MEDAN,TIMIKA
257,10974000,5402000,PADANG,MAKASSAR
258,8193000,4460000,PADANG,PONTIANAK
259,7744000,3925000,PADANG,SEMARANG
260,7744000,4065000,PADANG,SOLO
261,9199000,4364000,PADANG,SURABAYA
262,16718000,8685000,PADANG,TIMIKA
263,10546000,6022000,PALANGKARAYA,BANDA ACEH
264,8161000,4578000,PALANGKARAYA,BATAM
265,7477000,4022000,PALANGKARAYA,JOGJAKARTA
266,8557000,4888000,PALANGKARAYA,MATARAM
267,10300000,5412000,PALANGKARAYA,MEDAN
268,8760000,4642000,PALANGKARAYA,PADANG
